# num_models=20  M=4096  num_seqs=4277
seq_filename,seq_class_name,correct,rank,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20
data/sequences/M4096/A/00256.seq,A,*,1,A,I,C,I2,E,F,D,P,G2,I3,G,Bd,Bm,C1,Bu,I4,H,E1,M,B
data/sequences/M4096/A/00260.seq,A,*,1,A,I,I2,E,F,C,G2,P,D,G,I3,E1,I4,Bu,Bm,H,Bd,C1,M,B
data/sequences/M4096/A/00264.seq,A,*,1,A,E,I,G,G2,F,P,I2,C,D,I3,I4,Bd,E1,Bu,Bm,H,M,C1,B
data/sequences/M4096/A/00457.seq,A,*,1,A,I3,I4,G,Bu,I,P,Bm,I2,G2,C1,F,C,E,Bd,H,D,B,M,E1
data/sequences/M4096/A/00462.seq,A,*,1,A,I3,I,I2,F,E,Bm,C,G2,I4,Bu,G,D,Bd,H,P,B,E1,C1,M
data/sequences/M4096/A/00466.seq,A,*,1,A,I3,I4,I,P,G,I2,F,Bm,Bu,G2,C1,Bd,E,C,D,B,H,E1,M
data/sequences/M4096/A/00467.seq,A,*,1,A,I3,I4,G,I,P,I2,Bu,E,Bm,G2,F,Bd,C,C1,D,H,B,M,E1
data/sequences/M4096/A/00470.seq,A,*,1,A,I3,I4,I,I2,F,Bm,E,C,G,G2,H,P,D,Bu,M,E1,C1,Bd,B
data/sequences/M4096/A/00471.seq,A,*,1,A,I3,I,Bm,P,I2,E,C,F,H,G2,Bu,C1,D,I4,G,M,Bd,B,E1
data/sequences/M4096/A/00474.seq,A,*,1,A,I3,F,C,Bm,I2,I,Bu,E,I4,G2,G,D,P,C1,Bd,H,M,E1,B
data/sequences/M4096/A/00475.seq,A,*,1,A,I3,I4,I,F,I2,E,G,Bm,Bu,C,G2,H,P,D,C1,M,Bd,E1,B
data/sequences/M4096/A/00478.seq,A,*,1,A,I3,I4,Bm,C,F,H,E,P,I,I2,Bu,G2,C1,G,D,Bd,B,E1,M
data/sequences/M4096/A/00479.seq,A,*,1,A,I3,I2,I,F,C,I4,E,P,H,Bm,D,G2,C1,G,Bd,Bu,E1,M,B
data/sequences/M4096/A/00482.seq,A,*,1,A,I3,H,E,P,C,I,I2,G2,G,Bm,F,D,I4,Bu,Bd,C1,M,B,E1
data/sequences/M4096/A/00486.seq,A,*,1,A,I3,I4,I2,Bm,C,F,I,P,Bu,G,G2,E,H,C1,D,B,Bd,M,E1
data/sequences/M4096/A/00487.seq,A,*,1,A,C,I3,F,I4,I,D,E,G2,Bm,I2,Bu,P,H,M,E1,G,C1,Bd,B
data/sequences/M4096/A/00490.seq,A,*,1,A,I3,C,I,F,G2,E,I2,P,I4,G,D,Bd,Bu,Bm,C1,H,B,E1,M
data/sequences/M4096/A/00491.seq,A,*,1,A,I3,I,F,C,E,I2,P,I4,D,G2,G,Bm,Bd,Bu,C1,H,E1,M,B
data/sequences/M4096/A/00498.seq,A,*,1,A,I,C,I2,E,G2,F,E1,I3,D,I4,Bm,Bu,P,G,Bd,C1,B,H,M
data/sequences/M4096/A/00499.seq,A,*,1,A,E,I,C,D,I2,F,G2,I3,G,Bm,P,I4,C1,Bu,Bd,E1,H,B,M
data/sequences/M4096/A/00502.seq,A,*,1,A,I,C,E,F,I2,G2,I3,P,D,I4,Bm,G,Bu,E1,Bd,C1,H,B,M
data/sequences/M4096/A/00506.seq,A,*,1,A,E,I,P,G2,I3,D,I2,F,C,G,E1,I4,H,M,Bm,C1,Bd,Bu,B
data/sequences/M4096/A/00512.seq,A,*,1,A,C,F,D,E,I2,I,G2,P,I3,M,Bm,I4,E1,G,Bd,H,Bu,B,C1
data/sequences/M4096/A/00515.seq,A,*,1,A,C,I,D,F,I3,E,I2,G2,Bu,Bm,G,P,I4,H,Bd,C1,B,E1,M
data/sequences/M4096/A/00516.seq,A,*,1,A,D,C,F,E,I,G2,I2,P,G,M,I3,H,Bm,Bu,I4,Bd,E1,C1,B
data/sequences/M4096/A/00519.seq,A,*,1,A,I,E,I2,G2,C,P,D,G,F,I3,H,E1,I4,M,Bm,C1,Bu,Bd,B
data/sequences/M4096/A/00520.seq,A,*,1,A,I,E,G2,I2,D,P,G,C,F,E1,I3,M,H,Bm,Bu,I4,C1,Bd,B
data/sequences/M4096/A/00523.seq,A,*,1,A,D,E,I,F,C,G,P,I2,G2,E1,Bm,I3,H,M,Bu,I4,C1,Bd,B
data/sequences/M4096/A/00701.seq,A,*,1,A,I3,I4,Bm,I2,I,C,F,H,E,G2,P,Bu,G,C1,Bd,B,D,M,E1
data/sequences/M4096/A/00705.seq,A,*,1,A,I3,I4,Bu,I2,Bm,I,E,Bd,C,G,P,G2,F,D,B,H,C1,E1,M
data/sequences/M4096/A/00706.seq,A,*,1,A,I3,F,I,Bu,I4,C,E,G,I2,Bm,P,G2,Bd,D,C1,H,E1,B,M
data/sequences/M4096/A/00710.seq,A,*,1,A,I3,I4,G,Bm,I,I2,Bu,P,G2,C,E,F,H,Bd,D,C1,B,M,E1
data/sequences/M4096/A/00713.seq,A,*,1,A,I3,H,C,Bm,I,F,I2,E,Bu,G,G2,P,D,I4,C1,E1,B,Bd,M
data/sequences/M4096/A/00714.seq,A,*,1,A,I3,I4,I,G,I2,P,C1,Bm,C,Bu,E,H,G2,F,Bd,B,D,E1,M
data/sequences/M4096/A/00717.seq,A,*,1,A,I3,I4,I,I2,G,P,G2,C,F,E,Bu,Bm,D,H,C1,Bd,E1,B,M
data/sequences/M4096/A/00721.seq,A,*,1,A,C,I3,I2,F,I,E,Bm,D,G2,Bu,G,I4,Bd,P,H,E1,M,C1,B
data/sequences/M4096/A/00722.seq,A,*,1,A,C,I3,F,I,I2,G2,D,E,G,I4,P,Bm,Bu,E1,C1,H,Bd,M,B
data/sequences/M4096/A/00725.seq,A,*,1,A,I3,I,C,P,F,I2,G,I4,D,E,G2,Bd,C1,Bu,Bm,H,E1,B,M
data/sequences/M4096/A/00726.seq,A,*,1,A,C,I,E,I3,D,G2,F,P,I2,G,I4,Bm,Bu,Bd,C1,H,E1,M,B
data/sequences/M4096/A/00729.seq,A,*,1,A,C,F,I,E,D,I2,I3,G2,P,G,Bm,I4,Bu,H,M,Bd,E1,C1,B
data/sequences/M4096/A/00730.seq,A,*,1,A,I,C,F,E,D,I2,I3,P,G2,G,Bm,I4,Bu,H,Bd,C1,M,E1,B
data/sequences/M4096/A/00734.seq,A,*,1,A,E,I,G2,D,C,P,F,I2,G,Bm,I3,C1,E1,B,Bd,H,I4,M,Bu
data/sequences/M4096/A/00737.seq,A,*,1,A,I3,I,I2,C,F,E,G2,Bm,Bu,D,E1,G,P,I4,H,B,C1,Bd,M
data/sequences/M4096/A/00738.seq,A,*,1,A,I,I2,E,G2,C,G,E1,F,D,P,I3,Bm,Bu,H,I4,B,Bd,M,C1
data/sequences/M4096/A/00741.seq,A,*,1,A,I,C,I2,E,D,G2,E1,F,P,Bm,I3,I4,G,H,C1,Bu,Bd,B,M
data/sequences/M4096/A/00745.seq,A,*,1,A,C,F,I2,I,I3,E,G2,Bm,D,P,G,Bu,I4,Bd,M,H,E1,C1,B
data/sequences/M4096/A/00746.seq,A,*,1,A,C,E,I,I2,G2,F,D,I3,E1,G,P,H,Bm,I4,Bu,C1,Bd,M,B
data/sequences/M4096/A/00749.seq,A,*,1,A,C,I2,E,F,G2,I,D,P,I3,Bm,C1,Bd,Bu,E1,M,G,I4,H,B
data/sequences/M4096/A/00750.seq,A,*,1,A,C,E,D,I,I2,F,G2,P,H,E1,G,M,Bm,I3,I4,Bu,C1,Bd,B
data/sequences/M4096/A/00756.seq,A,*,1,A,C,I2,E,G2,F,I,D,E1,P,G,Bm,I3,Bu,M,I4,H,Bd,C1,B
data/sequences/M4096/A/00759.seq,A,*,1,A,C,D,F,E,I,G2,P,G,I2,I3,Bm,H,Bu,I4,E1,M,Bd,B,C1
data/sequences/M4096/A/00895.seq,A,*,1,A,I3,Bm,F,Bu,I2,E,C,P,I,C1,H,G2,Bd,G,I4,D,B,E1,M
data/sequences/M4096/A/00900.seq,A,*,1,A,I3,I4,Bm,I2,F,E,C,G,G2,P,I,H,M,Bu,Bd,D,B,E1,C1
data/sequences/M4096/A/00907.seq,A,*,1,A,I3,Bm,Bu,I4,I2,H,C,P,I,B,E,Bd,F,G,G2,E1,D,M,C1
data/sequences/M4096/A/00908.seq,A,*,1,A,I3,I4,G,Bm,I2,I,P,G2,E,Bu,F,C,D,H,Bd,E1,B,C1,M
data/sequences/M4096/A/00912.seq,A,*,1,A,I3,I4,I2,Bm,I,Bd,F,C,D,G,C1,P,G2,E,H,Bu,B,E1,M
data/sequences/M4096/A/00915.seq,A,*,1,A,I4,I3,I2,Bm,I,Bd,E,G,P,Bu,C,G2,F,D,E1,B,H,M,C1
data/sequences/M4096/A/00916.seq,A,*,1,A,I3,P,I2,C,I4,Bm,F,I,G2,E,G,D,Bd,Bu,M,E1,C1,H,B
data/sequences/M4096/A/00919.seq,A,*,1,A,I3,I4,I2,I,P,Bm,E,C,F,Bd,G,G2,D,Bu,H,C1,B,E1,M
data/sequences/M4096/A/01105.seq,A,*,1,A,I3,Bm,H,I2,I4,P,C,F,E,I,D,M,G,G2,Bu,C1,Bd,B,E1
data/sequences/M4096/A/01109.seq,A,*,1,A,I3,I4,I2,Bm,P,B,I,G,G2,F,E,C,H,E1,D,C1,Bd,Bu,M
data/sequences/M4096/A/01111.seq,A,*,1,A,I3,I4,I2,Bm,P,I,E,C,G2,F,G,H,D,E1,B,M,C1,Bu,Bd
data/sequences/M4096/A/01115.seq,A,*,1,A,I3,I4,I2,Bm,F,C,E,I,G2,P,D,B,E1,Bu,H,G,M,C1,Bd
data/sequences/M4096/A/01116.seq,A,*,1,A,I3,I2,C,F,I4,Bm,E,E1,G2,D,C1,H,P,I,Bd,B,G,Bu,M
data/sequences/M4096/A/01119.seq,A,*,1,A,C,I2,E,F,I3,I,G2,D,Bm,P,I4,E1,G,H,M,Bu,Bd,B,C1
data/sequences/M4096/A/01120.seq,A,*,1,A,I3,C,I2,G2,I,F,E,I4,D,Bm,P,E1,M,H,G,C1,Bd,B,Bu
data/sequences/M4096/A/01123.seq,A,*,1,A,C,I2,I,G2,I3,F,E,P,Bm,D,E1,I4,G,H,C1,M,Bd,Bu,B
data/sequences/M4096/A/01124.seq,A,*,1,A,C,F,I2,I3,D,E,G2,I,I4,Bm,P,G,E1,C1,H,B,M,Bd,Bu
data/sequences/M4096/A/01127.seq,A,*,1,A,C,I2,I3,I,F,E,P,G2,D,I4,Bm,E1,H,G,Bd,Bu,C1,M,B
data/sequences/M4096/A/01128.seq,A,*,1,A,E,I,G2,I2,C,I3,D,P,E1,F,Bm,I4,G,H,M,Bu,C1,Bd,B
data/sequences/M4096/A/01131.seq,A,*,1,A,C,I2,G2,E,F,E1,I,P,D,I3,I4,Bm,G,M,H,Bd,C1,Bu,B
data/sequences/M4096/A/01135.seq,A,*,1,A,E,I2,C,I,D,G2,F,I3,P,E1,G,Bm,I4,H,M,C1,Bd,Bu,B
data/sequences/M4096/A/01285.seq,A,*,1,A,I3,I4,Bm,I2,G2,P,H,C,E,I,Bu,F,G,D,Bd,E1,M,C1,B
data/sequences/M4096/A/01289.seq,A,*,1,A,I3,I4,Bm,I,I2,P,G2,E,D,F,C,G,Bd,M,Bu,E1,B,H,C1
data/sequences/M4096/A/01293.seq,A,*,1,A,I3,P,I4,I2,I,Bm,G,E,G2,C,F,Bd,D,Bu,M,B,C1,H,E1
data/sequences/M4096/A/01296.seq,A,*,1,A,I3,I4,I2,E,I,Bm,C1,Bu,C,G2,F,H,P,Bd,M,D,E1,G,B
data/sequences/M4096/A/01297.seq,A,*,1,A,I3,I4,I2,P,F,Bm,I,E,C,G,G2,Bu,Bd,C1,H,D,M,B,E1
data/sequences/M4096/A/01300.seq,A,*,1,A,I3,F,C,I2,Bu,I4,E,I,Bm,D,G2,P,C1,E1,Bd,M,G,H,B
data/sequences/M4096/A/01301.seq,A,*,1,A,I3,I2,D,F,C,G2,E,P,I,Bm,I4,G,M,E1,Bu,H,Bd,C1,B
data/sequences/M4096/A/01304.seq,A,*,1,A,I3,F,C,I4,I2,I,Bm,E,G2,D,P,Bu,E1,Bd,M,H,G,B,C1
data/sequences/M4096/A/01308.seq,A,*,1,A,C,D,E,F,I,I2,G2,I3,P,Bm,I4,H,Bd,G,M,C1,Bu,E1,B
data/sequences/M4096/A/01309.seq,A,*,1,A,D,C,E,I2,G2,I,F,P,E1,M,G,I3,Bm,I4,C1,H,Bu,Bd,B
data/sequences/M4096/A/01312.seq,A,*,1,A,C,I2,E,D,G2,I,F,I3,M,P,I4,Bm,H,G,E1,Bu,Bd,C1,B
data/sequences/M4096/A/01316.seq,A,*,1,A,D,E,F,C,G2,I,I2,P,I3,G,Bm,E1,M,H,Bd,I4,C1,B,Bu
data/sequences/M4096/A/01317.seq,A,*,1,A,E,I,D,C,I2,F,G2,P,G,I3,E1,Bm,M,Bu,I4,H,Bd,C1,B
data/sequences/M4096/A/01481.seq,A,*,1,A,I3,I4,I2,Bm,P,G2,G,I,E,C,F,M,Bd,C1,Bu,H,E1,D,B
data/sequences/M4096/A/01485.seq,A,*,1,A,I3,I4,I,Bm,P,G2,I2,E,D,F,C,Bd,C1,G,E1,M,Bu,H,B
data/sequences/M4096/A/01488.seq,A,*,1,A,I3,Bm,I4,I2,F,P,G2,E,C,G,I,D,H,E1,C1,M,Bd,Bu,B
data/sequences/M4096/A/01489.seq,A,*,1,A,I3,I4,C,I2,Bm,I,E,F,P,G2,G,D,M,C1,H,E1,Bd,Bu,B
data/sequences/M4096/A/01492.seq,A,*,1,A,I3,I4,I2,Bm,P,I,E,G,D,C,H,F,M,Bu,Bd,G2,C1,E1,B
data/sequences/M4096/A/01493.seq,A,*,1,A,I3,I2,I4,P,Bm,C,I,F,G2,E,G,Bu,H,D,M,C1,E1,Bd,B
data/sequences/M4096/A/01496.seq,A,*,1,A,I3,I4,I2,F,I,C,E,Bm,D,P,G2,C1,G,M,E1,H,Bu,Bd,B
data/sequences/M4096/A/01497.seq,A,*,1,A,I3,Bm,I2,I4,I,P,F,G2,C,E,D,G,Bd,E1,C1,M,Bu,H,B
data/sequences/M4096/A/01504.seq,A,*,1,A,E,D,C,I,I2,F,P,G2,I3,I4,E1,Bm,G,H,M,C1,Bd,B,Bu
data/sequences/M4096/A/01507.seq,A,*,1,A,I2,C,E,I,D,G2,F,E1,P,I3,G,Bm,I4,M,H,Bd,C1,Bu,B
data/sequences/M4096/A/01672.seq,A,*,1,A,I3,I4,I,I2,Bm,E,C,F,G2,D,C1,Bd,Bu,H,P,G,B,M,E1
data/sequences/M4096/A/01674.seq,A,*,1,A,I3,I4,I2,I,Bm,P,F,G2,E,C,M,C1,G,D,Bd,E1,H,Bu,B
data/sequences/M4096/A/01680.seq,A,*,1,A,I4,I3,Bm,I,G2,P,F,E,C,I2,D,M,E1,G,C1,Bd,H,Bu,B
data/sequences/M4096/A/01681.seq,A,*,1,A,I3,I,P,I4,Bm,G2,I2,F,E,C,D,E1,C1,G,M,Bd,Bu,H,B
data/sequences/M4096/A/01685.seq,A,*,1,A,I4,I3,F,Bm,I2,I,P,E,C,G2,Bd,C1,D,E1,G,M,Bu,H,B
data/sequences/M4096/A/01692.seq,A,*,1,A,I2,I,F,C,P,Bm,I3,I4,G2,E,E1,G,M,D,C1,H,Bd,Bu,B
data/sequences/M4096/A/01695.seq,A,*,1,A,I4,C,F,I2,I3,E,D,G2,I,P,Bm,C1,E1,M,G,Bu,Bd,B,H
data/sequences/M4096/A/01696.seq,A,*,1,A,I,I2,C,P,E,I3,G2,F,I4,Bm,D,E1,M,C1,G,Bu,Bd,H,B
data/sequences/M4096/A/01699.seq,A,*,1,A,C,E,I,I3,G2,I2,F,D,P,E1,Bm,M,I4,Bd,Bu,G,H,C1,B
data/sequences/M4096/A/01702.seq,A,*,1,A,I4,C,F,I3,G2,Bm,I2,I,E,P,D,E1,M,G,C1,H,Bd,Bu,B
data/sequences/M4096/A/01705.seq,A,*,1,A,I2,C,I,E,G2,F,D,E1,P,I3,Bm,I4,G,M,Bd,Bu,B,H,C1
data/sequences/M4096/A/01708.seq,A,*,1,A,C,I,F,I3,I2,D,E,M,G2,P,Bm,H,I4,G,E1,Bd,B,C1,Bu
data/sequences/M4096/A/01709.seq,A,*,1,A,C,G2,I2,I,F,E,P,D,M,I3,E1,Bm,I4,G,H,C1,Bu,Bd,B
data/sequences/M4096/A/01712.seq,A,*,1,A,C,D,I2,I,E,F,I3,G2,P,M,H,Bm,I4,G,E1,Bu,Bd,C1,B
data/sequences/M4096/A/01715.seq,A,*,1,A,C,I2,F,I,I3,E,D,G2,Bm,P,I4,H,M,Bu,C1,E1,G,Bd,B
data/sequences/M4096/A/01843.seq,A,*,1,A,I3,I2,I4,P,Bm,I,C,E,G2,G,F,M,D,H,C1,Bd,E1,Bu,B
data/sequences/M4096/A/01851.seq,A,*,1,A,I3,I4,I2,Bm,P,G,G2,F,C,I,H,E,M,Bu,D,E1,C1,B,Bd
data/sequences/M4096/A/01854.seq,A,*,1,A,I3,I2,Bm,P,I,F,E,G2,C,I4,M,H,G,D,Bu,B,C1,Bd,E1
data/sequences/M4096/A/01855.seq,A,*,1,A,I3,F,Bm,C,I2,I4,P,I,C1,E,G2,M,D,H,G,Bd,Bu,E1,B
data/sequences/M4096/A/01858.seq,A,*,1,A,I3,I4,I2,Bm,F,G2,C,E,P,I,M,Bu,Bd,D,H,G,C1,B,E1
data/sequences/M4096/A/01859.seq,A,*,1,A,I3,I2,Bm,C,I,F,P,E,I4,G2,M,G,D,C1,H,Bu,E1,Bd,B
data/sequences/M4096/A/01862.seq,A,*,1,A,I3,I2,Bm,F,C,H,I,E,D,I4,P,G2,Bd,Bu,M,G,C1,E1,B
data/sequences/M4096/A/01863.seq,A,*,1,A,I3,C,I2,F,I,I4,G2,D,P,Bm,E,M,C1,H,E1,Bd,G,Bu,B
data/sequences/M4096/A/01866.seq,A,*,1,A,I2,I,C,I3,I4,F,G2,E,Bm,D,P,M,H,G,C1,E1,Bu,Bd,B
data/sequences/M4096/A/01870.seq,A,*,1,A,C,I,F,E,G2,I2,I3,I4,D,Bm,P,Bu,G,H,E1,C1,Bd,M,B
data/sequences/M4096/A/01871.seq,A,*,1,A,I,I2,E,G2,C,F,P,E1,D,Bm,M,I3,G,I4,H,Bu,Bd,C1,B
data/sequences/M4096/A/01874.seq,A,*,1,A,C,F,I2,G2,M,I3,D,I,E,P,I4,Bm,H,G,E1,C1,Bu,Bd,B
data/sequences/M4096/A/02042.seq,A,*,1,A,I3,I2,I4,E,Bm,C,I,P,F,G2,D,H,G,M,E1,B,C1,Bu,Bd
data/sequences/M4096/A/02046.seq,A,*,1,A,I3,P,I4,I2,Bm,I,C,E,F,G2,G,Bu,C1,B,H,D,M,Bd,E1
data/sequences/M4096/A/02050.seq,A,*,1,A,I3,I2,Bm,I4,E,G2,C,F,I,P,H,G,D,M,E1,B,Bu,C1,Bd
data/sequences/M4096/A/02053.seq,A,*,1,A,I3,Bm,I4,I2,E,P,F,H,C,G2,I,D,G,M,Bu,Bd,C1,E1,B
data/sequences/M4096/A/02057.seq,A,*,1,A,I3,I4,I2,Bm,P,C,I,E,F,G2,M,G,D,H,Bu,E1,C1,Bd,B
data/sequences/M4096/A/02058.seq,A,*,1,A,I3,I2,I4,Bm,E,I,C,F,C1,P,H,D,G,G2,M,B,Bu,E1,Bd
data/sequences/M4096/A/02062.seq,A,*,1,A,I2,C,I,E,I3,G2,I4,P,F,D,Bm,G,M,H,C1,E1,B,Bu,Bd
data/sequences/M4096/A/02065.seq,A,*,1,A,I,I2,E,C,I3,F,G2,Bm,P,D,I4,G,M,H,Bd,B,Bu,E1,C1
data/sequences/M4096/A/02069.seq,A,*,1,A,I2,C,I,E,G2,F,I4,Bm,I3,P,E1,D,C1,G,M,H,Bd,Bu,B
data/sequences/M4096/A/02073.seq,A,*,1,A,I2,P,E,I,C,G2,I3,F,I4,D,Bm,G,M,E1,H,B,C1,Bd,Bu
data/sequences/M4096/A/02076.seq,A,*,1,A,C,I2,E,I,F,D,P,G2,I3,M,G,Bm,H,E1,I4,C1,B,Bu,Bd
data/sequences/M4096/A/02238.seq,A,*,1,A,I3,P,I2,Bm,G,I,I4,E,G2,H,F,C,M,D,C1,Bd,E1,B,Bu
data/sequences/M4096/A/02242.seq,A,*,1,A,I3,I2,Bm,H,C,E,F,P,I,G2,G,M,I4,D,Bd,C1,E1,Bu,B
data/sequences/M4096/A/02245.seq,A,*,1,A,I3,I2,H,P,Bm,I4,I,C,E,G2,F,D,G,E1,C1,M,Bd,Bu,B
data/sequences/M4096/A/02246.seq,A,*,1,A,I3,I2,Bm,I4,I,F,E,P,C,H,G,G2,D,M,C1,Bd,E1,B,Bu
data/sequences/M4096/A/02250.seq,A,*,1,A,I3,I2,C,F,Bm,I,P,M,E,G2,I4,H,C1,D,G,Bd,E1,Bu,B
data/sequences/M4096/A/02253.seq,A,*,1,A,I3,I2,Bm,I,F,E,G2,P,C,H,I4,D,Bd,G,M,C1,E1,Bu,B
data/sequences/M4096/A/02254.seq,A,*,1,A,I3,I2,I4,Bm,F,E,C,P,I,D,H,G2,M,Bd,G,C1,E1,Bu,B
data/sequences/M4096/A/02257.seq,A,*,1,A,I3,I2,I,P,Bm,I4,E,C,H,M,F,G2,D,Bd,G,C1,Bu,E1,B
data/sequences/M4096/A/02258.seq,A,*,1,A,I3,I2,I,I4,P,Bm,E,G2,C,F,H,C1,D,Bd,G,M,E1,Bu,B
data/sequences/M4096/A/02261.seq,A,*,1,A,I3,I2,Bm,F,E,P,C,I,I4,D,M,G2,G,H,C1,Bd,E1,Bu,B
data/sequences/M4096/A/02262.seq,A,*,1,A,I3,I2,Bm,P,F,I,I4,G2,H,E,M,C,G,Bd,C1,D,E1,Bu,B
data/sequences/M4096/A/02265.seq,A,*,1,A,I3,I2,P,Bm,I,I4,G2,E,H,F,D,C,M,G,Bd,C1,E1,Bu,B
data/sequences/M4096/A/02266.seq,A,*,1,A,C,I2,I,F,E,P,D,I3,G2,I4,Bm,G,C1,H,M,E1,Bd,B,Bu
data/sequences/M4096/A/02269.seq,A,*,1,A,C,I2,I,F,E,I3,G2,D,P,Bm,E1,I4,H,G,C1,Bd,M,B,Bu
data/sequences/M4096/A/02276.seq,A,*,1,A,C,I2,F,E,I3,I,I4,D,Bm,P,G2,G,H,M,Bd,E1,C1,Bu,B
data/sequences/M4096/A/02426.seq,A,*,1,A,I3,I,I4,I2,Bm,P,M,G,E,H,Bd,D,C,F,G2,C1,E1,Bu,B
data/sequences/M4096/A/02430.seq,A,*,1,A,I3,I2,P,Bm,I4,I,H,E,M,C,G,F,G2,D,Bd,C1,E1,B,Bu
data/sequences/M4096/A/02437.seq,A,*,1,A,I3,Bm,I,I2,P,H,F,C,M,E,G2,I4,Bd,D,G,C1,E1,Bu,B
data/sequences/M4096/A/02438.seq,A,*,1,A,I3,I2,I,F,P,M,G2,Bm,C,E,H,I4,D,G,E1,Bd,C1,Bu,B
data/sequences/M4096/A/02442.seq,A,*,1,A,I2,I3,I4,Bm,I,P,Bd,C,F,E,H,D,G2,M,C1,G,E1,Bu,B
